id,nome,ruolo,ruolo_mantra,squadra,quotazione,quotazione_iniziale,fvm,partite,fantamedia,media_voto,gol,assist,match_score,stats_nome_originale,stats_squadra_originale
5841,Svilar,P,Por,Roma,18,18,65,38,6.25,7.07,0,0,1.0,Mile Svilar,Roma
5116,Martinez Jo.,P,Por,Inter,17,17,63,,,,,,0,,
4431,Carnesecchi,P,Por,Atalanta,16,16,52,37,6.55,7.34,0,0,1.03,Marco Carnesecchi,Atalanta
6966,Butez,P,Por,Como,16,16,56,38,6.53,7.23,0,1,1.05,J. Butez,Como
4964,Vicario,P,Por,Juventus,16,16,55,,,,,,0,,
4312,Maignan,P,Por,Milan,15,15,50,37,6.39,7.23,0,0,1.01,Mike Maignan,Milan
2521,De Gea,P,Por,Fiorentina,13,13,45,37,5.73,6.99,0,0,0.99,David de Gea,Fiorentina
572,Meret,P,Por,Napoli,11,11,45,11,5.75,6.8,0,1,0.99,Alex Meret,Napoli
133,Skorupski,P,Por,Bologna,10,10,37,19,5.93,6.8,0,0,1.01,Lukasz Skorupski,Bologna
4360,Caprile,P,Por,Cagliari,9,9,27,38,5.62,7.04,0,0,1.12,Caprile,Cagliari
5876,Di Gregorio,P,Por,Juventus,9,9,10,30,6.2,6.95,0,0,1.12,Di Gregorio,Juventus
6482,Mandas,P,Por,Lazio,9,9,30,,,,,,0,,
6462,Okoye,P,Por,Udinese,9,9,29,30,5.96,6.98,0,0,0.96,Okoye Maduka,Udinese
7332,Bijlow,P,Por,Genoa,8,8,18,16,5.71,6.99,0,0,1.06,J. Bijlow,Genoa
2134,Falcone,P,Por,Lecce,8,8,25,38,5.79,6.98,0,0,0.95,Wladimiro Falcone,Lecce
7411,Daffara,P,Por,Parma,7,7,5,,,,,,0,,
4236,Muric,P,Por,Sassuolo,7,7,15,32,5.85,7.17,0,0,1.05,A. Murić,Sassuolo
218,Perin,P,Por,Juventus,6,6,5,9,6.02,6.69,0,0,0.96,Mattia Perin,Juventus
6248,Stankovic F.,P,Por,Venezia,6,6,14,13,6.46,6.46,0,0,0.53,F. Stojilković,Pisa
4485,Thiam,P,Por,Monza,5,5,12,,,,,,0,,
2170,Milinkovic-Savic V.,P,Por,Napoli,5,5,10,27,6.27,6.79,0,1,1.12,Milinkovic Savic V.,Napoli
6415,Palmisani,P,Por,Frosinone,4,4,8,,,,,,0,,
7463,Desplanches,P,Por,Frosinone,2,2,8,,,,,,0,,
2814,Provedel,P,Por,Inter,2,2,5,27,6.26,7.17,0,0,0.9,Ivan Provedel,Lazio
4,Sportiello,P,Por,Atalanta,1,1,1,,,,,,0,,
7533,Happonen,P,Por,Bologna,1,1,1,,,,,,0,,
7172,Pessina Mas.,P,Por,Bologna,1,1,1,,,,,,0,,
6650,Sherri,P,Por,Cagliari,1,1,1,,,,,,0,,
7301,Tornqvist,P,Por,Como,1,1,1,,,,,,0,,
2809,Vigorito,P,Por,Como,1,1,1,,,,,,0,,
6403,Christensen O.,P,Por,Fiorentina,1,1,1,,,,,,0,,
158,Lezzerini,P,Por,Fiorentina,1,1,1,,,,,,0,,
7466,Lolic,P,Por,Frosinone,1,1,1,,,,,,0,,
219,Sommariva,P,Por,Genoa,1,1,1,,,,,,0,,
6569,Stolz,P,Por,Genoa,1,1,1,,,,,,0,,
1926,Di Gennaro,P,Por,Inter,1,1,1,,,,,,0,,
1930,Pinsoglio,P,Por,Juventus,1,1,1,,,,,,0,,
7337,Motta,P,Por,Lazio,1,1,1,9,6.07,6.9,0,0,1.05,E. Motta,Lazio
7534,Renzetti,P,Por,Lazio,1,1,1,,,,,,0,,
2815,Terracciano,P,Por,Milan,1,1,1,36,6.73,6.71,2,0,0.89,Filippo Terracciano,Cremonese
6813,Torriani,P,Por,Milan,1,1,1,,,,,,0,,
6682,Pizzignacco,P,Por,Monza,1,1,1,,,,,,0,,
7475,Strajnar,P,Por,Monza,1,1,1,,,,,,0,,
2845,Contini,P,Por,Napoli,1,1,1,,,,,,0,,
6662,Corvi,P,Por,Parma,1,1,1,17,5.86,6.95,0,0,1.05,E. Corvi,Parma
7048,De Marzi,P,Por,Roma,1,1,1,,,,,,0,,
610,Gollini,P,Por,Roma,1,1,1,,,,,,0,,
4518,Russo A.,P,Por,Sassuolo,1,1,1,,,,,,0,,
4867,Turati,P,Por,Sassuolo,1,1,3,6,5.78,6.95,0,0,1.12,Turati,Sassuolo
7457,Mascardi,P,Por,Torino,1,1,1,,,,,,0,,
5320,Paleari,P,Por,Torino,1,1,1,29,5.52,7.09,0,0,1.07,A. Paleari,Torino
7363,Siviero,P,Por,Torino,1,1,1,,,,,,0,,
543,Padelli,P,Por,Udinese,1,1,1,,,,,,0,,
5707,Piana,P,Por,Udinese,1,1,1,,,,,,0,,
6671,Grandi,P,Por,Venezia,1,1,1,,,,,,0,,
7531,Pozzi,P,Por,Venezia,1,1,1,,,,,,0,,
7545,Vismara,P,Por,Atalanta,1,1,1,,,,,,0,,
2127,Satalino,P,Por,Sassuolo,1,1,1,,,,,,0,,
7557,Penev,P,Por,Lecce,1,1,1,,,,,,0,,
7560,Pisseri,P,Por,Frosinone,1,1,1,,,,,,0,,
3,Radunovic,P,Por,Cagliari,1,1,1,,,,,,0,,
4957,Montipò,P,Por,Venezia,1,1,1,35,5.47,6.73,0,1,1.0,Montipò,Verona
4468,Bleve,P,Por,Lecce,1,1,1,,,,,,0,,
254,Dimarco,D,E;W,Inter,32,32,265,35,8.44,7.42,7,16,0.96,Federico Dimarco,Inter
4998,Molina N.,D,E,Roma,18,18,87,,,,,,0,,
7181,Wesley,D,E,Roma,17,17,83,30,7.35,7.02,5,0,1.12,Wesley,Roma
4159,Akanji,D,Dc,Inter,16,16,55,33,7.27,7.15,2,0,1.06,M. Akanji,Inter
2788,Bremer,D,Dc,Juventus,15,15,50,26,7.61,7.13,4,3,0.96,Gleison Bremer,Juventus
2296,Mancini,D,Dc,Roma,15,15,49,36,7.26,7.0,4,2,1.07,Mancini G,Roma
2120,Bastoni,D,Dc,Inter,14,14,44,28,7.41,7.27,1,4,0.94,Alessandro Bastoni,Inter
5022,Pavlovic,D,Dc,Milan,14,14,48,34,7.46,7.05,5,1,1.08,S. Pavlović,Milan
4409,Rrahmani,D,Dc,Napoli,14,14,47,21,7.55,7.26,2,1,1.02,Amir Rrahmani,Napoli
4976,Kalulu,D,Dd;Dc,Juventus,13,13,46,37,7.14,6.93,2,4,0.97,Pierre Kalulu,Juventus
4317,N'Dicka,D,Dc,Roma,13,13,44,,,,,,0,,
6956,Solet,D,Dc,Udinese,13,13,46,35,7.43,7.21,3,1,1.05,O. Solet,Udinese
2514,Stones,D,Dc,Inter,12,12,38,,,,,,0,,
5833,Gila,D,Dc,Milan,12,12,31,31,7.11,7.21,0,0,0.75,Mario Gila Fuentes,Lazio
2816,Di Lorenzo,D,Dd;E,Napoli,12,12,40,26,7.13,6.88,2,1,1.0,Giovanni Di Lorenzo,Napoli
5982,Spence,D,E,Inter,12,12,41,,,,,,0,,
5750,Ostigard,D,Dc,Genoa,11,11,40,30,7.64,7.23,5,1,0.97,Leo Skiri Østigård,Genoa
6217,Bisseck,D,Dc,Inter,11,11,33,23,7.54,7.15,3,1,1.12,Bisseck,Inter
5526,Scalvini,D,Dc,Atalanta,10,10,28,24,7.46,7.08,3,1,0.99,Giorgio Scalvini,Atalanta
6869,Ramon,D,Dc,Como,10,10,32,32,7.16,7.18,2,0,0.88,Jacobo Ramón Naveros,Como
5885,Dodò,D,Dd;E,Fiorentina,10,10,30,,,,,,0,,
4807,Hermoso,D,Dc,Roma,10,10,26,27,7.16,6.91,3,2,1.12,Hermoso,Roma
5514,Vasquez,D,Ds;Dc,Genoa,9,9,33,36,6.86,6.8,1,0,1.0,Johan Vasquez,Genoa
5520,Cambiaso,D,Dd;Ds;E,Juventus,9,9,27,36,7.11,6.91,3,4,1.0,Andrea Cambiaso,Juventus
5641,Chalobah T.,D,Dd;Dc,Como,9,9,26,,,,,,0,,
6046,Hien,D,Dc,Atalanta,8,8,16,28,6.82,6.87,1,0,0.97,Isak Hien,Atalanta
554,Zappacosta,D,Dd;E,Atalanta,8,8,24,35,7.16,6.86,3,3,1.02,Davide Zappacosta,Atalanta
6042,Lucumì,D,Dc,Juventus,8,8,18,29,7.02,7.0,1,0,0.88,Jhon Lucumi,Bologna
4734,Miranda J.,D,Ds;E,Bologna,8,8,24,32,7.07,6.98,1,3,0.69,Juan Miranda,Bologna
4210,Mina,D,Dc,Cagliari,8,8,20,26,7.09,6.98,2,0,1.04,Y. Mina,Cagliari
5365,Dragusin,D,Dc,Fiorentina,8,8,27,,,,,,0,,
6531,Jimenez A.,D,Dd;Ds;E,Fiorentina,8,8,23,,,,,,0,,
6814,Norton-Cuffy,D,Dd;E,Genoa,8,8,22,27,6.99,6.84,2,1,1.09,B. Norton-Cuffy,Genoa
4657,Celik,D,B;Dd;E,Juventus,8,8,13,34,6.92,6.83,1,2,0.87,Zeki Çelik,Roma
6496,Bartesaghi,D,Ds;E,Milan,8,8,25,31,6.99,6.91,2,0,1.08,D. Bartesaghi,Milan
1852,Spinazzola,D,Ds;E,Napoli,8,8,24,31,7.35,6.99,3,3,1.0,Leonardo Spinazzola,Napoli
6664,Delprato,D,B;Dd;E,Parma,8,8,21,35,6.85,6.75,2,0,1.08,E. Delprato,Parma
5862,Valeri,D,Ds;E,Parma,8,8,24,34,6.91,6.88,0,2,0.95,Emanuele Valeri,Parma
7529,Koulierakis,D,Dc,Roma,8,8,20,,,,,,0,,
4994,Vojvoda,D,Dd;E,Udinese,8,8,19,29,6.97,6.73,2,2,0.87,Mërgim Vojvoda,Como
6727,Couto,D,Dd;E,Como,8,8,27,,,,,,0,,
5701,Obert,D,B;Ds;E,Cagliari,7,7,14,35,6.78,6.85,0,3,0.99,Adam Obert,Cagliari
7414,Kaiki,D,Ds;E,Como,7,7,23,,,,,,0,,
5877,Carlos Augusto,D,B;Ds;E,Inter,7,7,27,32,6.93,6.9,1,1,1.12,Carlos Augusto,Inter
6320,Doekhi,D,Dc,Lazio,7,7,22,,,,,,0,,
460,Romagnoli,D,Dc,Lazio,7,7,24,32,6.84,6.97,0,0,1.0,Romagnoli Alessio,Lazio
6989,Tiago Gabriel,D,Dc,Lecce,7,7,17,37,6.91,6.9,2,0,1.12,Tiago Gabriel,Lecce
4401,Gabbia,D,Dc,Milan,7,7,25,30,6.88,6.95,0,0,1.12,Gabbia,Milan
4751,Tomori,D,Dc,Milan,7,7,11,32,6.78,6.86,0,2,0.97,Fikayo Tomori,Milan
2724,Buongiorno,D,Dc,Napoli,7,7,15,33,6.81,6.82,0,1,0.98,Alessandro Buongiorno,Napoli
6672,Idzes,D,Dc,Sassuolo,7,7,19,35,6.69,6.71,0,0,1.05,J. Idzes,Sassuolo
6642,Coco,D,Dc,Torino,7,7,18,35,6.93,6.86,1,1,0.97,Saúl Coco,Torino
5010,Ismajli,D,Dc,Torino,7,7,18,25,6.83,6.89,0,1,0.99,Ardian Ismajli,Torino
6485,Kristensen T.,D,Dd;Dc,Atalanta,7,7,20,28,7.17,6.92,3,0,0.93,T. Kristensen,Udinese
6916,Ahanor,D,B;Ds;E,Atalanta,6,6,16,22,6.55,6.64,0,0,1.06,H. Ahanor,Atalanta
4887,Bellanova,D,Dd;E,Atalanta,6,6,15,24,6.66,6.66,0,1,1.02,Raoul Bellanova,Atalanta
7219,Bernasconi,D,Ds;E,Atalanta,6,6,17,23,7.06,6.99,0,3,1.08,L. Bernasconi,Atalanta
7212,Heggem,D,Ds;Dc,Bologna,6,6,15,27,6.65,6.69,0,0,1.06,T. Heggem,Bologna
4433,Zortea,D,Dd;E,Bologna,6,6,19,32,6.71,6.68,0,2,0.99,Nadir Zortea,Bologna
6867,Valle,D,Ds;E,Como,6,6,18,28,6.95,6.75,1,4,0.99,Álex Valle,Como
7294,Valdepenas,D,Ds;Dc,Fiorentina,6,6,18,,,,,,0,,
7410,Viery,D,Ds;Dc,Fiorentina,6,6,19,,,,,,0,,
4952,Monterisi,D,Dc,Frosinone,6,6,14,,,,,,0,,
6660,Marcandalli,D,Dc,Genoa,6,6,13,32,6.68,6.68,0,2,1.09,A. Marcandalli,Genoa
4177,Pavard,D,Dd;Dc,Inter,6,6,18,,,,,,0,,
5620,Tavares N.,D,Ds;E,Lazio,6,6,17,23,6.74,6.85,0,0,0.99,Nuno Tavares,Lazio
2188,Marusic,D,Dd;Ds;E,Lazio,6,6,20,33,6.76,6.66,1,2,1.01,Adam Marusic,Lazio
4502,Gallo,D,Ds;E,Lecce,6,6,13,37,6.84,6.77,0,4,1.12,Gallo,Lecce
7485,Mangas,D,Ds;E,Monza,6,6,15,,,,,,0,,
6202,Beukema,D,Dc,Napoli,6,6,13,23,7.01,6.79,2,0,1.12,Beukema,Napoli
6495,Comuzzo,D,Dc,Torino,6,6,11,26,6.65,6.65,1,0,0.95,P. Comuzzo,Fiorentina
